,security,conformity,tradition,benevolence,universalism,self-direction,stimulation,hedonism,achievement,power,song_id
43,0.07656613,0.05221971,0.08396151,0.092503354,0.076309964,0.09111479,0.066027775,0.10581051,0.06186583,0.09194686,828136
44,0.046552643,0.06361331,0.07520709,0.06753066,0.06247726,0.0580607,0.059110418,0.08026579,0.03889344,0.046234295,64471701
45,0.07241505,0.07569753,0.09579207,0.09521966,0.091340065,0.09628451,0.078622766,0.10678489,0.0857167,0.08257805,80988232
46,0.052929617,0.058875266,0.0774684,0.07759245,0.06763539,0.0719476,0.06673388,0.09574774,0.04167294,0.055749916,76983686
47,0.069360465,0.076758,0.08228299,0.10101353,0.088335976,0.10112025,0.08677395,0.11082211,0.07335842,0.07647838,148763951
48,0.058411032,0.053108912,0.06944588,0.07956048,0.067266755,0.072025016,0.069934875,0.08642512,0.04279877,0.06261234,139654441
49,0.022926386,0.06805171,0.05778171,0.03594765,0.042513523,0.040060706,0.058803715,0.055969857,0.0062162164,0.021165213,55441816
50,0.08019794,0.089980185,0.091415174,0.1207549,0.10557845,0.110371426,0.08267823,0.115164846,0.09123647,0.087637275,2107983
51,0.073267356,0.04644151,0.09172471,0.11700172,0.087944284,0.090300195,0.043941475,0.09220343,0.07936072,0.074998006,57005772
52,0.074764,0.06855338,0.08082204,0.09236251,0.08504069,0.0962546,0.07631253,0.09986893,0.07846334,0.083599165,2565059
53,0.07207339,0.058273427,0.085561685,0.095274195,0.08171873,0.09194425,0.07614818,0.10479959,0.07228991,0.08367385,98114160
54,0.076761864,0.054455385,0.08429675,0.08039607,0.07524654,0.07909096,0.055226073,0.08174439,0.066206865,0.09142022,49562778
55,0.081129104,0.06892875,0.08004819,0.10000679,0.08455747,0.09805043,0.07145371,0.09689577,0.071343005,0.0820118,19226344
56,0.065522864,0.074847564,0.09340148,0.10468851,0.08652451,0.09359805,0.07385817,0.10707506,0.08023463,0.0706801,152156863
57,0.046532817,0.052963458,0.07983084,0.06951979,0.06751407,0.073462784,0.075752616,0.09650718,0.04899306,0.052952114,136884961
58,0.04048779,0.026492313,0.058314726,0.05851237,0.044903643,0.048634306,0.07158947,0.081368625,0.03013121,0.04199364,1632495
59,0.07918678,0.06508935,0.07571654,0.10463566,0.085329324,0.108493164,0.100637965,0.12366848,0.07847934,0.08055106,1027136
60,0.092089266,0.041673988,0.056824,0.08095655,0.07888019,0.088382155,0.035730775,0.08423595,0.09563245,0.09200573,17326775
61,0.06632815,0.0651285,0.06764646,0.08035156,0.07292925,0.07947574,0.06544782,0.08151841,0.062106714,0.07944919,2323034
62,0.07881857,0.054015677,0.081990466,0.09036896,0.0772482,0.087339446,0.0584118,0.093143985,0.074577585,0.08733901,152997654
63,0.07602353,0.063265935,0.08332325,0.09765428,0.079668835,0.09061968,0.0714034,0.09836711,0.06134268,0.0731033,134245351
64,0.05813451,0.059366655,0.066806346,0.075031795,0.064973354,0.07279658,0.06463297,0.08411494,0.06097479,0.05050712,59403627
65,0.082363576,0.0700157,0.0832984,0.11987428,0.099378034,0.114880346,0.07995145,0.10892242,0.0894686,0.08360809,113169861
66,0.07321799,0.066679694,0.072213754,0.09820479,0.08346213,0.09339027,0.07570927,0.096830815,0.06976028,0.07504189,56800868
67,0.0907423,0.076758236,0.0854935,0.094679914,0.08824515,0.09175168,0.068980604,0.088474184,0.07763319,0.08731819,34373547
68,0.061088245,0.048880666,0.08626732,0.0748052,0.06797102,0.071627066,0.057217605,0.07894136,0.058666468,0.06828917,3671199
69,0.081729576,0.064048514,0.08788937,0.10074511,0.08868146,0.09586154,0.075643115,0.0995388,0.078046024,0.08404771,210971961
70,0.06463986,0.05511928,0.052067287,0.08204423,0.073659346,0.07761148,0.06840234,0.076488875,0.074856855,0.064845115,163661563
