    11.000     1.216     1.424     0.180     0.044    -0.888    -0.811     0.216     0.070     1.306     1.054     0.107     0.522    -1.012    -1.044     0.021    -0.557     0.503     0.959     0.112     0.294    -0.344    -0.252    -0.031    -0.311     1.327     1.512     0.091     0.509     0.798     0.555     0.205     0.048     0.082    -0.271    -0.152    -0.612     0.388     0.367     0.037
    12.000    -0.082     0.338     0.492     0.678    -0.166     0.084     0.398     0.165     0.922     1.024     0.106    -0.545    -1.094    -1.001     0.516    -0.337     1.327     1.505     0.393     0.071     1.688     2.246     0.557     0.486     1.286     1.392     0.228    -0.176     1.558     0.568     0.657     0.315     1.876     1.153     0.957     0.954     0.460     1.467     0.451
    13.000     0.967     1.238     0.488     0.536    -1.028    -0.695     0.442     0.893     0.344     0.810     0.303     0.677    -1.573    -1.763     0.403     0.247     0.627     0.909     0.294     0.432    -0.691    -0.161     0.206     0.221     0.994     1.202     0.225     0.206     0.041    -0.960    -0.013    -0.602    -0.292    -0.773     0.131    -0.288     1.658     1.665     0.430
    14.000     1.198     1.198     0.916     1.503    -0.629    -0.806     0.896     1.190     0.815     0.919     0.443    -0.573     0.021    -0.239     0.898     0.445     0.466     0.402     0.778     0.618    -0.316    -0.348     0.896     0.892     0.126     0.096     0.580     0.013    -0.384    -0.633     0.800    -0.348    -0.250    -0.560     1.205     1.034    -0.207    -0.277     0.860
    15.000     0.576     0.766     0.267     0.052    -1.148    -1.118     0.342     0.549     0.183     0.144     0.308    -0.090    -1.031    -0.914    -0.014    -0.728     0.136     0.205     0.224    -0.133    -1.100    -1.184     0.258     0.473     0.147     0.260     0.106    -0.338    -0.110    -0.024     0.472     0.554    -1.083    -1.163     0.241     0.706     0.209     0.141     0.267
    16.000     0.419    -0.897     0.723     0.697     0.658    -0.529     0.540     0.332    -0.118    -0.033     1.169     2.671    -0.428     0.060     1.238     3.659     0.100    -0.719     0.860     1.865     0.597     0.007     0.690     0.873     0.452    -0.460     0.747     0.990     0.118     0.775     0.738     0.386     0.445     1.024     0.658     0.554     0.342    -0.095     0.664
    17.000     0.091     0.518     0.372     0.809    -0.888    -0.617     0.238     0.094     0.361     0.508    -0.030    -0.932    -0.192    -0.434     0.048    -0.807     0.741     0.933     0.359     0.307     0.460     0.645     0.475     0.308     0.975     1.197     0.199    -0.126     1.052     0.804     0.510    -1.125     0.294     0.152     0.609     0.294    -0.038     0.169     0.491
    18.000     1.038     1.531    -0.154    -0.351     0.448     0.834    -0.263    -0.962     1.658     1.190    -0.492    -1.248     1.262     1.119    -0.099    -1.518     1.559     1.761    -0.401    -1.169     1.724     1.784    -0.303    -1.238     0.620     1.110    -0.511    -0.953     0.826     1.094    -0.375    -1.113    -0.333    -0.299    -0.014    -0.742     0.770     0.786     0.060
    19.000     2.296     2.175    -0.034    -0.113    -1.053    -1.427    -0.051    -0.146     0.663     0.910    -0.033    -0.433    -1.055    -1.148    -0.147    -1.498     0.546     0.549    -0.081    -0.618    -1.211    -0.812     0.044    -0.275     0.545     0.550    -0.028     0.037    -0.602    -0.682     0.420     0.805    -1.732    -2.133     0.238    -0.551     2.179     1.994    -0.004
    20.000    -0.492    -0.845     0.785     0.309     0.496     0.422     0.677     0.361    -0.225    -0.506     0.558    -0.627     1.076     1.364     0.651     0.173    -0.236    -0.479     0.845     0.489    -0.277    -0.689     0.696    -0.010    -0.554    -0.631     0.698     0.072    -0.680     0.055     0.558    -0.924    -0.281     0.286     0.736    -0.113    -0.573    -0.797     0.843
    21.000    -0.779    -0.334     0.190     0.117     0.432     0.989     0.150    -0.420    -0.965    -1.335     0.246     0.363     1.348     1.206     0.145     0.397    -0.915    -0.674     0.135     0.081    -1.281    -1.467     0.064    -0.259    -1.436    -1.042     0.137    -0.058    -0.761    -0.853    -0.047    -0.118    -0.535    -0.337    -0.176    -0.679    -0.896    -0.908     0.118
    22.000     0.285     0.419    -2.704    -0.501    -0.785    -0.588    -2.667    -0.095    -0.555    -0.521    -2.780    -0.912    -0.491    -0.599    -3.476    -0.480    -0.949    -0.724    -2.927    -0.591    -1.592    -1.418    -3.015    -0.810    -0.884    -0.746    -2.787    -0.747    -0.122    -0.358    -3.765    -1.002    -0.361    -0.758    -3.544    -0.734     0.205     0.123    -2.462
    23.000    -1.675    -1.193    -1.932    -1.507     0.562     0.797    -1.979    -1.729    -1.343    -1.122    -2.074    -1.679     0.796     0.629    -1.872    -1.256    -1.683    -1.377    -2.001    -1.898    -0.566    -0.587    -1.910    -1.904    -1.379    -1.141    -2.047    -1.937    -0.585    -0.795    -2.055    -0.922     0.341     0.297    -1.867    -1.414    -1.288    -1.236    -1.913
