,security,conformity,tradition,benevolence,universalism,self-direction,stimulation,hedonism,achievement,power,song_id
40,0.23174147,0.16073531,0.22674909,0.26663047,0.22805724,0.25164253,0.17538854,0.23373055,0.20145753,0.24368277,152156857
41,0.13675565,0.10013273,0.121453345,0.12701522,0.12803811,0.13617738,0.091021635,0.12729043,0.09823353,0.14031547,84371480
42,0.23564708,0.15085974,0.21539898,0.2709338,0.23183429,0.26312792,0.18495825,0.25436375,0.20323965,0.2526481,46337905
43,0.21294591,0.12748703,0.18432608,0.22467104,0.19470748,0.22531125,0.15732053,0.22683969,0.18643907,0.23627503,828136
44,0.1011378,0.05669249,0.10982905,0.114969715,0.09895499,0.10617455,0.08298861,0.1232499,0.07044435,0.10140781,64471701
45,0.21689115,0.17580713,0.23838082,0.24631219,0.23314878,0.2556907,0.190625,0.23626085,0.21545482,0.25198174,80988232
46,0.14394975,0.0919383,0.14818013,0.16748565,0.14189862,0.15925637,0.11756344,0.17486387,0.11228738,0.15122211,76983686
47,0.199993,0.11775015,0.16454172,0.22300714,0.19011287,0.21678437,0.1440415,0.21050683,0.17306593,0.21010867,148763951
48,0.16650736,0.08589923,0.15272178,0.17766243,0.15070653,0.17071909,0.12538077,0.17362067,0.117719695,0.17273292,139654441
49,-0.0914796,-0.02725336,-0.05863239,-0.046468236,-0.05742601,-0.08314703,-0.04409241,-0.027895868,-0.09656489,-0.08793138,55441816
50,0.2561742,0.18306023,0.24802016,0.30188993,0.26482365,0.29280603,0.20151849,0.27115887,0.23410171,0.27730197,2107983
51,0.22404586,0.14169762,0.22211199,0.25071037,0.21945228,0.24188283,0.15338549,0.21627024,0.20229329,0.2342723,57005772
52,0.19907361,0.13713773,0.17830697,0.21119434,0.18985228,0.21389556,0.15154304,0.19426446,0.17387635,0.21592753,2565059
53,0.21772131,0.1370125,0.21047473,0.25057495,0.21410641,0.24372472,0.17203763,0.24284567,0.19106318,0.23606275,98114160
54,0.22572082,0.15359047,0.22247311,0.2255445,0.21221048,0.22913742,0.16677937,0.22061211,0.18749735,0.23856403,49562778
55,0.2347167,0.15712969,0.21289843,0.25428453,0.22358325,0.2527551,0.17913352,0.23304564,0.20003378,0.24912952,19226344
56,0.18866134,0.14388002,0.20706686,0.2304463,0.20033143,0.21636897,0.15751494,0.21654186,0.17197736,0.20494431,152156863
57,0.09787171,0.06390255,0.124715865,0.12385917,0.10906304,0.123308584,0.08435246,0.13594109,0.080010764,0.10042787,136884961
58,0.097978234,0.05633588,0.08215169,0.10825287,0.088034935,0.09997566,0.07237489,0.11112045,0.06533182,0.095530525,1632495
59,0.24173993,0.16367072,0.2360327,0.2698116,0.23534052,0.2736548,0.2070161,0.26562902,0.21402717,0.26202863,1027136
60,0.20053326,0.12323948,0.19218835,0.2104921,0.18937252,0.21243224,0.13801298,0.19711041,0.19002664,0.22246677,17326775
61,0.1996373,0.12664717,0.1765997,0.21185355,0.18706918,0.20983037,0.15140125,0.2021862,0.16535777,0.21236095,2323034
62,0.21661818,0.13573726,0.20921531,0.23333229,0.20252874,0.23600581,0.15891442,0.21941301,0.19317743,0.23116502,152997654
63,0.22790168,0.13139302,0.19936016,0.238878,0.20359404,0.23202571,0.1559401,0.22431085,0.1822784,0.23439862,134245351
64,0.17464152,0.11556118,0.19029625,0.19904694,0.1754635,0.2014599,0.13920961,0.19274177,0.16055703,0.19110246,59403627
65,0.25745022,0.16817138,0.23509413,0.2967031,0.2525155,0.28985414,0.19784582,0.26443434,0.23583946,0.27566504,113169861
66,0.22578679,0.15069622,0.21678469,0.25945908,0.22330731,0.25584787,0.17590865,0.24075527,0.19965371,0.24536477,56800868
